e_id;geo_name;loc;geonamesid;time;time_norm;actor
1;Meknes;[u'33.883333333333 -5.55'];2542715;2013;2013-01-01;Gianluca Naso
2;Meknes;[u'33.883333333333 -5.55'];2542715;2013;2013-01-01;Gerard Granollers
3;Meknes;[u'33.883333333333 -5.55'];2542715;2013;2013-01-01;Cedrik-Marcel Stebe
4;Meknes;[u'33.883333333333 -5.55'];2542715;2013;2013-01-01;Alessandro Giannessi
5;Meknes;[u'33.883333333333 -5.55'];2542715;2013;2013-01-01;Jordi Samper Montaña
6;Morocco;[u'32 -6'];2542007;2013;2013-01-01;Gianluca Naso
7;Scania;[u'55.8 13.61666667'];;4 June 1134;1134-06-04;Eric I of Denmark
8;Scania;[u'55.8 13.61666667'];;4 June 1134;1134-06-04;Canute Lavard
9;Scania;[u'55.8 13.61666667'];;4 June 1134;1134-06-04;Eric II of Denmark
10;Scania;[u'55.8 13.61666667'];;4 June 1134;1134-06-04;Niels, King of Denmark
11;Scania;[u'55.8 13.61666667'];;4 June 1134;1134-06-04;Magnus I of Sweden
12;Ringsted;[u'55.4406 11.7936'];2614764;4 June 1134;1134-06-04;Eric I of Denmark
13;Ringsted;[u'55.4406 11.7936'];2614764;January 1131;1131-01-01;Harald Kesja
14;Zealand;[u'55.5 11.75'];2613979;4 June 1134;1134-06-04;Eric I of Denmark
15;Vejle;[u'55.708333333333 9.5333333333333'];2610601;January 1131;1131-01-01;Eric II of Denmark
16;Jutland;[u'55.62955 9.20105'];;January 1131;1131-01-01;Eric II of Denmark
17;Duchy of Schleswig;[u'55.166666666667 9.25'];;January 1131;1131-01-01;Eric II of Denmark
18;Troy;[u'31.80196 -85.967317'];4094163;1931;1931-01-01;Chase Riddle
19;United States of America;[u'40 -100'];6252001;1931;1931-01-01;Chase Riddle
20;University of South Carolina;[u'33.9975 -81.025277777778'];4599390;January 13, 1924;1924-01-13;Thomas Ravenel
21;Republican Party;[u'38.88541667 -77.00558333'];;January 13, 1924;1924-01-13;Thomas Ravenel
22;Calhoun Falls, South Carolina;[u'34.092777777778 -82.589722222222'];4573077;January 13, 1924;1924-01-13;Thomas Ravenel
23;South Carolina;[u'34 -81'];4597040;January 13, 1924;1924-01-13;Thomas Ravenel
24;Egypt;[u'26 29'];357994;July 7, 1989;1989-07-07;Raúl
25;1. FC Köln;[u'50.90718 6.905369'];;July 7, 1989;1989-07-07;Raúl
26;1. FC Köln;[u'50.90718 6.905369'];;2010;2010-01-01;Hany Ramzy
27;2012 Summer Olympics;[u'51.5049 -0.07857'];;July 2011;2011-07-01;Hany Ramzy
28;Cairo;[u'30.056111111111 31.239444444444'];360630;July 7, 1989;1989-07-07;Raúl
29;Baltimore;[u'39.286388888889 -76.615'];4347778;1987;1987-01-01;Kevin Liles
30;Maryland;[u'39 -76.7'];4361885;1987;1987-01-01;Kevin Liles
31;Annapolis;[u'38.973055555556 -76.501111111111'];4347242;1987;1987-01-01;Kevin Liles
32;Annapolis;[u'38.973055555556 -76.501111111111'];4347242;1987;1987-01-01;Frank Farian
33;Atlantic Ocean;[u'0 -30'];3373405;1987;1987-01-01;Frank Farian
34;Atlantic Ocean;[u'0 -30'];3373405;1988;1988-01-01;Kenny Lattimore
35;Atlantic Ocean;[u'0 -30'];3373405;1988;1988-01-01;Toni Braxton
36;Germany;[u'51 10'];2921044;1987;1987-01-01;Frank Farian
37;Connecticut;[u'41.6 -72.7'];4831725;1988;1988-01-01;Frank Farian
38;United States of America;[u'40 -100'];6252001;February 2005;2005-02-01;Chuck Schumer
39;Princethorpe;[u'52.326638888889 -1.4144888888889'];2639886;1795;1795-01-01;George Richards Elkington
40;Madeley, Staffordshire;[u'53.001 -2.341'];2643234;1795;1795-01-01;George Richards Elkington
41;Stretton-on-Dunsmore;[u'52.349961111111 -1.4024388888889'];7301487;1797;1797-01-01;George Richards Elkington
42;Nocona;[u'33.7883 -97.7264'];4714865;January 7, 1920;1920-01-07;Dana X. Bible
43;University of Texas at Austin;[u'30.28614 -97.73942'];4738604;January 7, 1920;1920-01-07;Dana X. Bible
44;Bulgaria;[u'42.75 25.5'];732800;1947;1947-01-01;Ljubomir Chakaloff
45;Bulgaria;[u'42.75 25.5'];732800;1947;1947-01-01;Nikola Obreshkov
46;Bulgarian Academy of Sciences;[u'42.69459992 23.3321768'];;1947;1947-01-01;Ljubomir Chakaloff
47;Sofia University;[u'42.69361111 23.335'];;1947;1947-01-01;Ljubomir Chakaloff
48;Leicester;[u'52.633333333333 -1.1333333333333'];2644668;1988;1988-01-01;Val Parnell
49;Leicester;[u'52.633333333333 -1.1333333333333'];2644668;1988;1988-01-01;Cliff Richard
50;Moat Community College;[u'52.6331 -1.11986'];;1988;1988-01-01;Val Parnell
51;Philadelphia;[u'39.953055555556 -75.163333333333'];4560349;June 12, 1880;1880-06-12;Lee Richmond
52;Philadelphia;[u'39.953055555556 -75.163333333333'];4560349;June 12, 1880;1880-06-12;Pud Galvin
